usable,obj,suite,stem,task,T,disp,rise,path,z0,scene,npz
yes,red_coffee_mug_1,libero_90,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_left_plate,put the red mug on the left plate,127,0.3798,0.1465,0.6083,0.4386,low_table,red_coffee_mug_1__living_room_scene5_put_the_red_mug_on_the_left_plate_flow.npz
yes,red_coffee_mug_1,libero_90,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_right_plate,put the red mug on the right plate,180,0.3530,0.1832,0.6914,0.4386,low_table,red_coffee_mug_1__living_room_scene5_put_the_red_mug_on_the_right_plate_flow.npz
yes,red_coffee_mug_1,libero_90,LIVING_ROOM_SCENE6_put_the_red_mug_on_the_plate,put the red mug on the plate,116,0.3384,0.1395,0.5868,0.4386,low_table,red_coffee_mug_1__living_room_scene6_put_the_red_mug_on_the_plate_flow.npz
yes,salad_dressing_1,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,pick up the salad dressing and place it in the basket,137,0.3686,0.1818,0.6999,0.0914,floor,salad_dressing_1__pick_up_the_salad_dressing_and_place_it_in_the_basket_flow.npz
yes,tomato_sauce_1,libero_90,LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_put_it_in_the_basket,pick up the tomato sauce and put it in the basket,162,0.4700,0.2188,0.8076,0.4752,low_table,tomato_sauce_1__living_room_scene1_pick_up_the_tomato_sauce_and_put_it_in_the_basket_flow.npz
yes,tomato_sauce_1,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket,pick up the tomato sauce and place it in the basket,132,0.3636,0.1897,0.6734,0.0384,floor,tomato_sauce_1__pick_up_the_tomato_sauce_and_place_it_in_the_basket_flow.npz
yes,tomato_sauce_1,libero_90,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket,pick up the tomato sauce and put it in the basket,104,0.2768,0.1997,0.5518,0.4752,low_table,tomato_sauce_1__living_room_scene2_pick_up_the_tomato_sauce_and_put_it_in_the_basket_flow.npz
yes,tomato_sauce_1,libero_90,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray,pick up the tomato sauce and put it in the tray,128,0.2640,0.1477,0.5003,0.4752,low_table,tomato_sauce_1__living_room_scene3_pick_up_the_tomato_sauce_and_put_it_in_the_tray_flow.npz
yes,white_bowl_1,libero_90,KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate,put the white bowl to the right of the plate,120,0.4249,0.0838,0.6196,1.1072,table,white_bowl_1__kitchen_scene7_put_the_white_bowl_to_the_right_of_the_plate_flow.npz
yes,white_bowl_1,libero_90,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet,put the white bowl on top of the cabinet,144,0.4097,0.3527,0.6875,0.8992,table,white_bowl_1__kitchen_scene9_put_the_white_bowl_on_top_of_the_cabinet_flow.npz
yes,white_bowl_1,libero_90,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,put the white bowl on the plate,223,0.3061,0.1396,0.6531,1.1072,table,white_bowl_1__kitchen_scene7_put_the_white_bowl_on_the_plate_flow.npz
yes,white_yellow_mug_1,libero_10,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,put the yellow and white mug in the microwave and close it,329,0.3215,0.0850,0.5244,0.8999,table,white_yellow_mug_1__kitchen_scene6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_flow.npz
yes,white_yellow_mug_1,libero_90,STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy,pick up the yellow and white mug and place it to the right of the caddy,129,0.3189,0.2277,0.6442,0.8852,table,white_yellow_mug_1__study_scene1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy_flow.npz
yes,white_yellow_mug_1,libero_90,KITCHEN_SCENE6_close_the_microwave,close the microwave,236,0.3160,0.0844,0.4468,0.8999,table,white_yellow_mug_1__kitchen_scene6_close_the_microwave_flow.npz
yes,white_yellow_mug_1,libero_90,KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug,put the yellow and white mug to the front of the white mug,144,0.2900,0.1246,0.4765,0.8999,table,white_yellow_mug_1__kitchen_scene6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug_flow.npz
yes,white_yellow_mug_1,libero_10,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,put the white mug on the left plate and put the yellow and white mug on the right plate,275,0.2225,0.1144,0.4785,0.4369,low_table,white_yellow_mug_1__living_room_scene5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_flow.npz
yes,white_yellow_mug_1,libero_90,LIVING_ROOM_SCENE5_put_the_yellow_and_white_mug_on_the_right_plate,put the yellow and white mug on the right plate,121,0.1836,0.0926,0.3094,0.4369,low_table,white_yellow_mug_1__living_room_scene5_put_the_yellow_and_white_mug_on_the_right_plate_flow.npz
yes,wine_bottle_1,libero_90,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,put the wine bottle on the wine rack,309,0.3931,0.3125,0.6160,0.8987,table,wine_bottle_1__kitchen_scene4_put_the_wine_bottle_on_the_wine_rack_flow.npz
yes,wine_bottle_1,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet,put the wine bottle on top of the cabinet,93,0.3393,0.2813,0.4573,0.8987,table,wine_bottle_1__put_the_wine_bottle_on_top_of_the_cabinet_flow.npz
yes,wine_bottle_1,libero_goal,put_the_wine_bottle_on_the_rack,put the wine bottle on the rack,347,0.2900,0.3007,0.6181,0.8987,table,wine_bottle_1__put_the_wine_bottle_on_the_rack_flow.npz
yes,wine_bottle_1,libero_90,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,put the wine bottle in the bottom drawer of the cabinet,169,0.2477,0.1646,0.5449,0.8987,table,wine_bottle_1__kitchen_scene4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet_flow.npz
yes,yellow_book_1,libero_90,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_on_the_cabinet_shelf,pick up the book on the right and place it on the cabinet shelf,92,0.2844,0.1638,0.3920,0.8832,table,yellow_book_1__study_scene4_pick_up_the_book_on_the_right_and_place_it_on_the_cabinet_shelf_flow.npz
yes,yellow_book_1,libero_90,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_under_the_cabinet_shelf,pick up the book on the right and place it under the cabinet shelf,123,0.2719,0.0978,0.3800,0.8832,table,yellow_book_1__study_scene4_pick_up_the_book_on_the_right_and_place_it_under_the_cabinet_shelf_flow.npz
yes,yellow_book_2,libero_90,STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf,pick up the book on the left and place it on top of the shelf,174,0.6188,0.3261,0.8774,0.8832,table,yellow_book_2__study_scene4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf_flow.npz
no_motion,akita_black_bowl_1,libero_90,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,open the bottom drawer of the cabinet,124,0.0314,0.0067,0.0357,0.8982,table,akita_black_bowl_1__kitchen_scene1_open_the_bottom_drawer_of_the_cabinet_flow.npz
no_motion,akita_black_bowl_1,libero_90,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,close the bottom drawer of the cabinet and open the top drawer,217,0.0002,0.0002,0.0002,0.8982,table,akita_black_bowl_1__kitchen_scene4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer_flow.npz
no_motion,akita_black_bowl_1,libero_90,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,close the top drawer of the cabinet,65,0.0002,0.0002,0.0002,0.8982,table,akita_black_bowl_1__kitchen_scene5_close_the_top_drawer_of_the_cabinet_flow.npz
no_motion,akita_black_bowl_1,libero_goal,turn_on_the_stove,turn on the stove,80,0.0002,0.0002,0.0002,0.8982,table,akita_black_bowl_1__turn_on_the_stove_flow.npz
no_motion,akita_black_bowl_1,libero_goal,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,138,0.0002,0.0002,0.0002,0.8982,table,akita_black_bowl_1__open_the_middle_drawer_of_the_cabinet_flow.npz
no_motion,akita_black_bowl_1,libero_90,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,open the top drawer of the cabinet,64,0.0002,0.0002,0.0002,0.8982,table,akita_black_bowl_1__kitchen_scene2_open_the_top_drawer_of_the_cabinet_flow.npz
no_motion,akita_black_bowl_1,libero_90,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,open the top drawer of the cabinet,177,0.0002,0.0002,0.0002,0.8982,table,akita_black_bowl_1__kitchen_scene1_open_the_top_drawer_of_the_cabinet_flow.npz
no_motion,akita_black_bowl_1,libero_90,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,close the top drawer of the cabinet,71,0.0002,0.0002,0.0002,0.8982,table,akita_black_bowl_1__kitchen_scene10_close_the_top_drawer_of_the_cabinet_flow.npz
no_motion,chefmate_8_frypan_1,libero_90,KITCHEN_SCENE3_turn_on_the_stove,turn on the stove,90,0.0002,0.0002,0.0002,0.8990,table,chefmate_8_frypan_1__kitchen_scene3_turn_on_the_stove_flow.npz
no_motion,moka_pot_1,libero_90,KITCHEN_SCENE8_turn_off_the_stove,turn off the stove,152,0.0000,0.0000,0.0000,0.9661,table,moka_pot_1__kitchen_scene8_turn_off_the_stove_flow.npz
no_motion,white_bowl_1,libero_90,KITCHEN_SCENE7_open_the_microwave,open the microwave,131,0.0003,0.0003,0.0030,1.1072,table,white_bowl_1__kitchen_scene7_open_the_microwave_flow.npz
no_motion,white_bowl_1,libero_90,KITCHEN_SCENE9_turn_on_the_stove,turn on the stove,115,0.0002,0.0002,0.0002,0.8992,table,white_bowl_1__kitchen_scene9_turn_on_the_stove_flow.npz
